Reservior name,dam name,river,main basin,sub basin,near city,administration city,COUNTRY,secondary country,YEAR,dam height,dam length,AREA(sqkm),AREA(polygonal),CAPITAL EXPENDITURE,DEPTH(m),AVG DISPLACEMENT OF WATER,CATCHMENT area in sqkm,MAIN_USAGE,"MULTI_DAMS,C,10",TIMELINE(status),status,longitude,latitude
Rough River Lake,Rough River Lake Dam,Rough River,,,,Kentucky,United States,,1959,40,485,15.7,15.7,412.5,26.3,8199,1164,Flood control,,,2: Good,-86.497917,37.61625
R.D. Bailey Lake,R.D. Bailey Dam,Guyandot River,,,,West Virginia,United States,,1976,94,426,1.5,1.5,251.3,167.5,18643,1386,Flood control,,,3: Fair,-81.82125,37.600417
,Diascund Creek Dam,Diascund Creek,,,,Virginia,United States,,1963,11,1679,3.5,3.5,35.9,10.3,668,86,Water supply,,,2: Good,-76.900417,37.432917
Fishtrap Lake,Fishtrap Dam,Levisa Fork of Big Sandy River,,,,Kentucky,United States,,1969,59,335,2.7,2.7,202.7,75.1,13395,1020,Flood control,,,3: Fair,-82.40625,37.42875
,Swift Creek Reservoir Dam,Swift Creek,,,,Virginia,United States,,1965,13,338,6.1,6.1,62.4,10.2,1698,170,Water supply,,,2: Good,-77.649583,37.420417
,Carvin Cove Dam,Carvins Creek,,,,Virginia,United States,,1946,26,96,2.2,2.2,28.4,12.9,482,44,Water supply,,,2: Good,-79.957917,37.370417
,Little Creek Dam,Little Creek,,,,Virginia,United States,,1980,20,579,2.5,2.5,39.6,15.8,90,12,Water supply,,,2: Good,-76.84125,37.35375
Buckhorn Lake,Buckhorn Lake Dam,Middlefork Kentucky River,,,,Kentucky,United States,,1960,49,311,2.2,2.2,207.1,94.1,16777,1063,Flood control,,,3: Fair,-83.470417,37.337917
Nolin Lake,Nolin Lake Dam,Nolin River,,,,Kentucky,United States,,1963,51,299,18,18,751.7,41.8,14279,1809,Flood control,,,2: Good,-86.247083,37.27875
Green River Lake,Green River Lake Dam,Green River,,,,Kentucky,United States,,1969,44,716,30.8,30.8,892.1,29,22167,1765,Flood control,,,2: Good,-85.339583,37.249583
John W. Flannagan Lake,John W. Flannagan Dam,Pound River,,,,Virginia,United States,,1963,76,279,2.8,2.8,179.7,64.2,7402,573,Flood control,,,2: Good,-82.349583,37.232917
Spring Hollow Reservoir,Clifford D. Craig Memorial Dam,Trib. Roanoke River,,,,Virginia,United States,,1994,73,297,0.4,0.4,14.1,35.3,77,7,Water supply,,,2: Good,-80.17625,37.230417
Carr Creek Lake,Carr Creek Lake Dam,Carr Creek,,,,Kentucky,United States,,1975,40,219,1.8,1.8,58.8,32.7,2214,155,Flood control,,,2: Good,-83.032917,37.22875
Lake Chesdin,Brasfield Dam,Appomattox River,,,,Virginia,United States,,1968,17,-99,9,9,98.1,10.9,36694,3465,Water supply,,,3: Fair,-77.52875,37.224583
,Wood Creek Lake Dam,Rockcastle River,,,,Kentucky,United States,,1969,50,244,1.7,1.7,35.9,21.1,1173,63,Water supply,,,2: Good,-84.19875,37.21375
,Smithland Lock and Dam,Ohio River,,,,Illinois,United States,,1980,17,40,68.6,68.6,911.2,13.3,4768713,372122,Navigation,,,3: Fair,-88.42875,37.170417
,Leesville,Roanoke River,,,,Virginia,United States,,1963,27,299,8.9,8.9,117.1,13.2,42286,3847,Hydroelectricity,,,2: Good,-79.40375,37.09125
,Mud River Dam,Mud River,,,,Kentucky,United States,,1961,17,186,1.9,1.9,25.4,13.4,899,73,Flood control,,,2: Good,-87.032917,37.08125
,Claytor,New River,,,,Virginia,United States,,1939,42,351,14.6,14.6,286.2,19.6,86114,6106,Hydroelectricity,,,2: Good,-80.587083,37.074583
,Smith Mountain,Roanoke River,,,,Virginia,United States,,1964,72,249,71.1,71.1,1408.6,19.8,29246,2655,Hydroelectricity,,,2: Good,-79.537083,37.045417
Lake Barkley,Barkley Dam,Cumberland,,,,Kentucky,United States,,1966,48,3103,255.1,255.1,2568.1,10.1,886716,45566,Hydroelectricity,,,2: Good,-88.220417,37.020417
Kentucky Lake,Kentucky,Tennessee River,,,,Kentucky,United States,,1944,63,2567,574.8,574.8,7560,13.2,1795361,104052,Navigation,,,2: Good,-88.26875,37.012083
Laurel Lake,Laurel Dam,Laurel,,,,Kentucky,United States,,1973,86,433,19,19,537.3,28.3,13274,708,Flood control,,,2: Good,-84.267083,36.96125
Barren River Lake,Barren River Lake Dam,Barren River,,,,Kentucky,United States,,1964,45,1210,32,32,1005.5,31.4,40510,2414,Flood control,,,2: Good,-86.122917,36.895417
Lake Cumberland,Wolf Creek,Cumberland,,,,Kentucky,United States,,1951,79,1748,159.5,159.5,7510.7,47.1,271480,14910,Hydroelectricity,,,2: Good,-85.14375,36.86875
,Lake Prince Dam,Nansemond,,,,Virginia,United States,,1921,10,640,5.8,5.8,18.6,3.2,1221,181,Water supply,,,2: Good,-76.582917,36.800417
Philpott Reservoir,Philpott Dam,Smith River,,,,Virginia,United States,,1953,67,280,8.2,8.2,392.6,47.9,6871,574,Hydroelectricity,,,2: Good,-80.02875,36.782917
,Cannon Creek Dam,Yellow Creek,,,,Kentucky,United States,,1972,38,274,0.9,0.9,13.9,15.4,213,12,Water supply,,,2: Good,-83.69125,36.685417
,Lake Drummond,Lake Drummond,,,,Virginia,United States,,1825,10,-99,12.9,12.9,27.1,2.1,1281,206,Navigation,,,2: Good,-76.449583,36.599583
John H. Kerr Reservoir,John H. Kerr Dam,Roanoke River,,,,Virginia,United States,,1953,44,849,180.8,180.8,4148.8,22.9,232742,20431,Hydroelectricity,,,2: Good,-78.295417,36.59625
Dale Hollow Lake,Dale Hollow Dam,Obey River,,,,Tennessee,United States,,1943,61,523,89.6,89.6,2104.3,23.5,53474,2408,Hydroelectricity,,,3: Fair,-85.450417,36.53875
South Holston Lake,South Holston,South Fork of Holston River,,,,Tennessee,United States,,1950,87,488,22.4,22.4,942.4,42.1,24808,1817,Flood control,,,2: Good,-82.087083,36.524583
,Gaston,Roanoke,,,,North Carolina,United States,,1963,30,1097,68.9,68.9,632.8,9.2,246703,21809,Hydroelectricity,,,3: Fair,-77.812083,36.497917
Boone Lake,Boone,South Fork of Holston River,,,,Tennessee,United States,,1952,51,517,10.4,10.4,238.6,22.9,62268,4772,Flood control,,,2: Good,-82.434583,36.440417
,Reelfoot Lake,,,,,Tennessee,United States,,-99,4,86,27.3,27.3,41.3,1.5,8154,522,Recreation,,,3: Fair,-89.404583,36.35375
Watauga Lake,Watauga,Watauga River,,,,Tennessee,United States,,1948,101,282,21.4,21.4,835.1,39,16095,1232,Flood control,,,2: Good,-82.122083,36.322083
Old Hickory Lake,Old Hickory Dam,Cumberland River,,,,Tennessee,United States,,1954,30,1143,58.4,58.4,672.2,11.5,604585,30199,Hydroelectricity,,,2: Good,-86.65875,36.292083
Lake Reidsville,Troublesome Creek Dam,Troublesome Creek,,,,North Carolina,United States,,1974,14,524,2.6,2.6,26.1,10,1684,133,Water supply,,,2: Good,-79.662083,36.285417
Norris Lake,Norris,Clinch River,,,,Tennessee,United States,,1936,81,567,88,88,3147.8,35.8,104664,7570,Flood control,,,2: Good,-84.092917,36.22875
,Townsend Lake Dam,Reedy Fork,,,,North Carolina,United States,,1969,12,433,5.5,5.5,40.3,7.3,3653,275,Water supply,,,2: Good,-79.732917,36.189583
Lake Burlington,Lake Cammack Dam,Stony Creek,,,,North Carolina,United States,,-99,18,258,2.7,2.7,44.4,16.4,2008,160,Recreation,,,3: Fair,-79.41375,36.17875
,Lake Brandt Dam,Reedy Fork,,,,North Carolina,United States,,1920,12,779,2.9,2.9,22.7,7.8,2496,186,Water supply,,,2: Good,-79.84125,36.174583
Cherokee Lake,Cherokee Saddle Dam 1,Holston River,,,,Tennessee,United States,,1941,30,274,71.1,71.1,1900.8,26.7,113924,8862,Flood control,,,2: Good,-83.497083,36.16625
J. Percy Priest Lake,J. Percy Priest Dam,Stones River,,,,Tennessee,United States,,1967,45,828,52.8,52.8,804.2,15.2,49023,2348,Flood control,,,2: Good,-86.617917,36.15625
W. Kerr Scott Reservoir,W. Kerr Scott Dam,Yadkin River,,,,North Carolina,United States,,1963,45,530,5.2,5.2,377.4,72.6,11151,950,Water supply,,,3: Fair,-81.22875,36.132917
Center Hill Lake,Center Hill Dam,Caney Fork River,,,,Tennessee,United States,,1951,76,658,59.6,59.6,2580.4,43.3,129360,5636,Flood control,,,2: Good,-85.825417,36.097083
,Lake Mackintosh Dam,Great Alamance Creek,,,,North Carolina,United States,,1992,21,122,3.6,3.6,28.4,7.9,4839,366,Recreation,,,2: Good,-79.505417,36.039583
,Oak Hollow Lake Dam,West Fork of Deep River,,,,North Carolina,United States,,1971,16,442,2.5,2.5,30.2,12.1,1178,85,Recreation,,,2: Good,-79.987083,36.012083
,High Point Municipal Dam,Deep River,,,,North Carolina,United States,,1928,15,143,0.8,0.8,14.4,18,1409,102,Water supply,,,3: Fair,-79.947083,35.999583
Douglas Lake,Douglas,French Broad River,,,,Tennessee,United States,,1943,14,375,64.7,64.7,1900.8,29.4,165716,11739,Flood control,,,4: Poor,-83.534583,35.96375
Falls Lake,Falls Lake Dam,Neuse River,,,,North Carolina,United States,,1981,28,584,38.4,38.4,1259.4,32.8,23850,1983,Water supply,,,3: Fair,-78.582917,35.945417
Melton Hill Lake,Melton Hill,Clinch River,,,,Tennessee,United States,,1963,31,311,17.5,17.5,155.4,8.9,122690,8695,Navigation,,,2: Good,-84.297083,35.882917
,Lake Tom-A-Lex Dam,Abbotts Creek,,,,North Carolina,United States,,1957,13,194,2.3,2.3,13.8,6,2521,181,Water supply,,,2: Good,-80.19125,35.87875
,Tansi,Basses Creek,,,,Tennessee,United States,,1959,20,732,1.4,1.4,19.7,14.1,235,11,Other,,,2: Good,-85.06625,35.86625
Lake Hickory,Oxford,Catawba,,,,North Carolina,United States,,1928,37,243,13.2,13.2,157.3,11.9,30485,3436,Hydroelectricity,,,2: Good,-81.195417,35.822917
Great Falls Lake,Great Falls,Caney Fork River,,,,Tennessee,United States,,1916,28,244,4.1,4.1,61.9,15.1,53323,2293,Hydroelectricity,,,2: Good,-85.62125,35.80125
Tellico Lake,Tellico,Little Tennessee River,,,,Tennessee,United States,,1979,39,987,99.8,99.8,576.8,5.8,342462,24695,Recreation,,,2: Good,-84.24125,35.79125
,Rhodhiss,Catawba,,,,North Carolina,United States,,1925,22,206,6.5,6.5,83.4,12.8,25989,2871,Hydroelectricity,,,2: Good,-81.44125,35.774583
,Lookout Shoals,Catawba,,,,North Carolina,United States,,1915,27,554,3.8,3.8,32.6,8.6,33857,3803,Hydroelectricity,,,2: Good,-81.09125,35.757917
Bridgewater,Catawba,Catawba River,,,,North Carolina,United States,,1919,46,962,24.5,24.5,356.2,14.5,10395,1024,Hydroelectricity,,,2: Good,-81.84125,35.745417
,Solutia 15,Cold Branch,,,,Tennessee,United States,,1977,69,1034,0.1,0.1,40.6,406,48,3,Other,,,5: Unreliable,-87.117083,35.699583
,Walters,Pigeon River,,,,North Carolina,United States,,1929,63,274,0.9,0.9,21,23.3,17634,1004,Hydroelectricity,,,2: Good,-83.04875,35.694583
Beech Lake,Beech River Dam,Beech River,,,,Tennessee,United States,,1963,5,107,3.2,3.2,13.7,4.3,1022,56,Flood control,,,2: Good,-88.417083,35.662083
,North Fork Reservoir Dam,North Fork of Swannanoa River,,,,North Carolina,United States,,1954,41,399,1.3,1.3,26.8,20.6,748,60,Water supply,,,3: Fair,-82.344583,35.662083
B. Everett Jordan Lake,B. Everett Jordan Dam,Haw River,,,,North Carolina,United States,,1974,34,405,37,37,2031,54.9,55376,4374,Water supply,,,3: Fair,-79.070417,35.657917
Watts Bar Lake,Watts Bar,Tennessee River,,,,Tennessee,United States,,1942,34,902,120.5,120.5,1449.3,12,686271,44763,Navigation,,,2: Good,-84.782917,35.62875
High Rock Lake,High Rock,Yadkin River,,,,North Carolina,United States,,1927,29,285,39.4,39.4,354,9,133580,10318,Hydroelectricity,,,3: Fair,-80.237083,35.60375
,Calderwood,Little Tennessee River,,,,Tennessee,United States,,1930,70,279,1.6,1.6,50.7,31.7,95362,4768,Hydroelectricity,,,2: Good,-83.97875,35.495417
Normandy Lake,Normandy,Duck River,,,,Tennessee,United States,,1976,34,835,10.6,10.6,155.5,14.7,10013,480,Hydroelectricity,,,2: Good,-86.245417,35.46625
Fontana Lake,Fontana,Little Tennessee River,,,,North Carolina,United States,,1944,146,721,24.9,24.9,1779.9,71.5,81435,4046,Flood control,,,2: Good,-83.807917,35.45375
,Cheoah,Little Tennessee River,,,,North Carolina,United States,,1919,72,229,1.8,1.8,43.2,24,93694,4676,Hydroelectricity,,,2: Good,-83.93375,35.449583
,Coddle Creek Dam,Coddle Creek,,,,North Carolina,United States,,-99,14,6,4.3,4.3,33.3,7.7,1163,123,Water supply,,,3: Fair,-80.699583,35.44125
Lake Norman,Cowans Ford,Catawba,,,,North Carolina,United States,,1963,41,2663,112,112,510.8,4.6,40803,4694,Hydroelectricity,,,2: Good,-80.95375,35.437083
,Lake Lure Dam,Rocky Broad River,,,,North Carolina,United States,,1927,38,146,2.8,2.8,55.4,19.8,2467,246,Hydroelectricity,,,2: Good,-82.185417,35.42625
Lake Badin,Yadkin Narrows,Yadkin River,,,,North Carolina,United States,,1917,65,349,22.1,22.1,176.1,8,139944,10779,Hydroelectricity,,,2: Good,-80.095417,35.420417
,Santeetlah,Cheoah River,,,,North Carolina,United States,,1928,66,321,7.9,7.9,188.2,23.8,8669,438,Hydroelectricity,,,2: Good,-83.87625,35.377083
,Texasgulf Pond R-1-2,Pamlico,,,,North Carolina,United States,,1987,12,5334,1,1,19.7,19.7,22,3,Other,,,4: Poor,-76.799583,35.349583
,Mountain Island,Catawba,,,,North Carolina,United States,,1923,29,419,7.1,7.1,56.7,8,41876,4867,Hydroelectricity,,,2: Good,-80.987083,35.34125
Woods Reservoir,Elk River Dam,Elk River,,,,Tennessee,United States,,1952,27,735,13.6,13.6,125.6,9.2,13891,676,Water supply,,,2: Good,-86.095417,35.299583
,Moss Lake Dam,Buffalo Creek,,,,North Carolina,United States,,1973,30,256,4.8,4.8,65.7,13.7,683,181,Water supply,,,2: Good,-81.457917,35.27875
,Bear Creek,East Fork of Tuckasegee River,,,,North Carolina,United States,,1954,66,232,1.3,1.3,42.7,32.8,3739,188,Hydroelectricity,,,2: Good,-83.069583,35.242083
Lake Auman,Lake Auman Dam,Jackson,,,,North Carolina,United States,,1997,28,792,3.1,3.1,34.6,11.2,143,12,Recreation,,,2: Good,-79.60375,35.24125
,Tillery,Pee Dee River,,,,North Carolina,United States,,1928,27,839,19.2,19.2,206,10.7,158256,12089,Hydroelectricity,,,2: Good,-80.070417,35.207917
,Nantahala,Nantahala River,,,,North Carolina,United States,,1942,76,318,4.9,4.9,155.4,31.7,4723,219,Hydroelectricity,,,2: Good,-83.65375,35.19875
Glenville,Thorpe,West Fork of Tuckasegee River,,,,North Carolina,United States,,1941,46,274,5,5,82.8,16.6,1554,74,Hydroelectricity,,,2: Good,-83.15375,35.19625
Apalachia Lake,Apalachia,Hiwassee River,,,,North Carolina,United States,,1943,46,399,3.4,3.4,71.3,21,55271,2658,Hydroelectricity,,,2: Good,-84.29375,35.16875
Hiwassee Lake,Hiwassee,Hiwassee River,,,,North Carolina,United States,,1940,94,419,12.4,12.4,535.3,43.2,53039,2542,Flood control,,,2: Good,-84.17875,35.15375
N. Saluda Reservoir,N. Saluda Reservoir Dam,Saluda River,,,,South Carolina,United States,,1956,53,488,3.9,3.9,113.8,29.2,705,70,Water supply,,,2: Good,-82.407917,35.14125
,Toxaway Dam Lower,Toxaway River,,,,North Carolina,United States,,1961,18,213,1.9,1.9,26.5,13.9,437,22,Recreation,,,2: Good,-82.937083,35.12875
Lake Bowen,Lake Bowen Dam,Pacolet River,,,,South Carolina,United States,,1956,17,122,5.6,5.6,39.5,7.1,1436,212,Water supply,,,2: Good,-82.01875,35.112083
Chickamauga Lake,Chickamauga,Tennessee River,,,,Tennessee,United States,,1940,39,1768,111,111,909.4,8.2,862243,53783,Navigation,,,2: Good,-85.227917,35.10375
Parksville Lake,Ocoee 1,Ocoee River,,,,Tennessee,United States,,1911,41,256,6.1,6.1,102.7,16.8,29581,1514,Hydroelectricity,,,2: Good,-84.647083,35.095417
Pickwick Lake,Pickwick Landing,Tennessee River,,,,Tennessee,United States,,1938,34,2352,155.7,155.7,1363,8.8,1452733,84925,Navigation,,,2: Good,-88.249583,35.070417
Table Rock Reservoir,Table Rock Reservoir,South Saluda River,,,,South Carolina,United States,,1925,46,244,1.8,1.8,37,20.6,649,39,Water supply,,,2: Good,-82.674583,35.06625
H. Taylor Blalock Reservoir,H. Taylor Blalock Reservoir Dam,Pacolet River,,,,South Carolina,United States,,1983,22,305,2.8,2.8,28.4,10.1,4403,703,Water supply,,,2: Good,-81.86625,35.057917
Wylie,Winthrop University Dam,Catawba,,,,South Carolina,United States,,1925,31,749,36.1,36.1,304,8.4,55242,7832,Hydroelectricity,,,2: Good,-81.012083,35.024583
Chatuge Lake,Chatuge,Hiwassee River,,,,North Carolina,United States,,1942,46,1017,21.5,21.5,296.7,13.8,7796,356,Flood control,,,2: Good,-83.792917,35.01625
Nickajack Lake,Nickajack,Tennessee River,,,,Tennessee,United States,,1967,25,1148,39.1,39.1,310.3,7.9,915695,56567,Navigation,,,2: Good,-85.61875,35.00375
Lake Robinson,Lake Robinson Dam,South Tyger River,,,,South Carolina,United States,,1984,23,301,3,3,55.5,18.5,1402,146,Water supply,,,2: Good,-82.295417,34.995417
,Blewett Falls,Pee Dee River,,,,North Carolina,United States,,1912,23,1252,8.8,8.8,119.6,13.6,221050,17763,Hydroelectricity,,,2: Good,-79.882917,34.99125
Jocassee,Main Dam,Keowee,,,,South Carolina,United States,,1973,117,556,29.2,29.2,1588.5,54.4,7481,385,Hydroelectricity,,,2: Good,-82.920417,34.962083
Nottely Lake,Nottely,Nottely River,,,,Georgia,United States,,1942,61,1193,7.2,7.2,215,29.9,11807,561,Flood control,,,2: Good,-84.09125,34.957917
Lake Toccoa,Blue Ridge,Toccoa River,,,,Georgia,United States,,1930,51,305,9.4,9.4,241.6,25.7,11665,574,Hydroelectricity,,,2: Good,-84.277917,34.882917
Wheeler Lake,Wheeler,Tennessee River,,,,Alabama,United States,,1936,22,1933,154.8,154.8,1318.6,8.5,1303634,76615,Hydroelectricity,,,3: Fair,-87.38125,34.807917
,Keowee,Keowee,,,,South Carolina,United States,,1971,52,1067,58.5,58.5,1178.7,20.1,21562,1137,Hydroelectricity,,,2: Good,-82.889583,34.799583
,Burton,Tallulah,,,,Georgia,United States,,1927,41,318,9,9,133.2,14.8,6735,306,Hydroelectricity,,,2: Good,-83.54125,34.795417
,Mathis and Terrora,Tallulah,,,,Georgia,United States,,1925,34,182,2.1,2.1,38.2,18.2,8682,396,Hydroelectricity,,,2: Good,-83.420417,34.770417
,Tugalo,Tallulah,,,,Georgia,United States,,1923,47,259,1.7,1.7,53,31.2,26426,1227,Hydroelectricity,,,2: Good,-83.35375,34.71625
,Yonah,Tugaloo,,,,Georgia,United States,,1925,28,299,1,1,14.4,14.4,26737,1242,Hydroelectricity,,,2: Good,-83.339583,34.687083
Carters Lake,Carters Main Dam,Coosawattee River,,,,Georgia,United States,,1974,141,594,9.9,9.9,583.2,58.9,18748,977,Flood control,,,3: Fair,-84.669583,34.61625
,Fishing Creek,Catawba,,,,South Carolina,United States,,1916,32,137,9,9,74,8.2,64997,9880,Hydroelectricity,,,2: Good,-80.89125,34.60375
Cedar Creek Reservoir,Cedar Creek,Cedar Creek,,,,Alabama,United States,,1978,30,963,12.5,12.5,130.4,10.4,8212,465,Flood control,,,2: Good,-87.972917,34.545417
,Rocky Creek,Catawba River,,,,South Carolina,United States,,1909,36,558,2.5,2.5,11.9,4.8,68605,11273,Hydroelectricity,,,2: Good,-80.880417,34.545417
Bay Springs Lake,Jamie L. Whitten Lock and Dam,Tombigbee,,,,Mississippi,United States,,1983,37,838,25.2,25.2,222,8.8,3407,179,Navigation,,,2: Good,-88.324583,34.524583
Little Bear Creek Reservoir,Little Bear Creek,Little Bear Creek,,,,Alabama,United States,,1975,26,739,5,5,51.1,10.2,2827,159,Flood control,,,2: Good,-87.974583,34.45375
Guntersville Lake,Guntersville,Tennessee River,,,,Alabama,United States,,1939,29,1213,166.9,166.9,1293.9,7.8,1050800,63292,Navigation,,,2: Good,-86.392083,34.422083
Sardis Lake,Sardis Dam,Little Tallahatchie River,,,,Mississippi,United States,,1940,36,4663,118.6,118.6,3720.2,31.4,80486,3961,Flood control,,,2: Good,-89.794583,34.407917
Lake Robinson,Lake Robinson Dam,Black Creek,,,,South Carolina,United States,,1960,17,1219,8,8,68.5,8.6,3073,384,Hydroelectricity,,,2: Good,-80.155417,34.40375
Lower Reservoir,Lower Reservoir Dam A,Heath Creek,,,,Georgia,United States,,1992,29,427,1.4,1.4,29,20.7,73,4,Hydroelectricity,Yes,,3: Fair,-85.29125,34.36625
Hartwell Lake,Hartwell Dam,Savannah River,,,,Georgia,United States,,1962,62,5441,189.2,189.2,4241.6,22.4,102422,5451,Hydroelectricity,,,3: Fair,-82.824583,34.362083
,Wateree,Catawba River,,,,South Carolina,United States,,1919,28,418,43.7,43.7,323.7,7.4,71420,12283,Hydroelectricity,,,2: Good,-80.70375,34.337083
,Fairfield Dam Main Dam,Frees Creek,,,,South Carolina,United States,,1977,62,1433,26.9,26.9,493.4,18.3,131,45,Hydroelectricity,,,3: Fair,-81.32875,34.31625
,Arrowhead Lake Dam,Lost Town Creek,,,,Georgia,United States,,1974,33,526,1.6,1.6,29.4,18.4,435,24,Recreation,,,2: Good,-84.59125,34.29125
Upper Bear Creek Reservoir,Upper Bear Creek,Bear Creek,,,,Alabama,United States,,1978,26,462,4.2,4.2,45.1,10.7,4629,269,Flood control,,,2: Good,-87.69375,34.274583
Pool C,Fulton,Tombigbee,,,,Mississippi,United States,,1981,18,121,5.4,5.4,16.3,3,10963,575,Navigation,,,2: Good,-88.427917,34.262083
Parr,Parr Shoals Dam,Broad River,,,,South Carolina,United States,,1914,17,828,11.7,11.7,39.5,3.4,55891,12289,Hydroelectricity,,,2: Good,-81.332917,34.262083
Lake Secession,Rocky River Dam,Rocky,,,,South Carolina,United States,,1940,26,152,3.2,3.2,31.6,9.9,6604,510,Hydroelectricity,,,2: Good,-82.612083,34.257917
Lake Catoma,Lake Catoma Dam,Eight Mile Creek,,,,Alabama,United States,,1966,30,549,1.4,1.4,26.4,18.9,1433,76,Water supply,,,2: Good,-86.807917,34.194583
,Weiss Main Dam,Coosa,,,,Alabama,United States,,1961,26,9387,44.3,44.3,377.8,8.5,250175,13661,Hydroelectricity,,,2: Good,-85.75375,34.174583
,Buzzards Roost Embankment,Saluda River,,,,South Carolina,United States,,1940,25,732,36.8,36.8,315.8,8.6,31466,3030,Hydroelectricity,,,2: Good,-81.912083,34.174583
Allatoona Lake,Allatoona Lake Dam and Powerhouse,Etowah,,,,Georgia,United States,,1965,57,38,36.2,36.2,826.5,22.8,54208,2901,Flood control,,,2: Good,-84.727917,34.16625
Lake Sidney Lanier,Buford,Chattahoochee River,,,,Georgia,United States,,1958,70,753,133.6,133.6,3150.3,23.6,54300,2677,Flood control,,,2: Good,-84.074583,34.162083
Enid Lake,Enid Dam,Yocona River,,,,Mississippi,United States,,1952,34,2560,59,59,1496.8,25.4,31240,1571,Flood control,,,2: Good,-89.904583,34.152083
Pool B,Glover Wilkins,Tombigbee,,,,Mississippi,United States,,1981,17,1951,9.6,9.6,23.5,2.4,54980,2898,Navigation,,,2: Good,-88.42375,34.06625
Lake Murray,Saluda,Saluda,,,,South Carolina,United States,,1930,71,2377,180.8,180.8,2713.7,15,52154,6274,Hydroelectricity,,,2: Good,-81.220417,34.05375
Smith,Lewis Smith,Sipsey Fork of Black Warrior River,,,,Alabama,United States,,1961,91,671,62.6,62.6,2060.8,32.9,42088,2443,Hydroelectricity,,,2: Good,-87.107917,33.945417
Aberdeen Lake,Aberdeen Dam,Tombigbee,,,,Mississippi,United States,,1981,20,152,5.6,5.6,38.9,6.9,106978,5697,Navigation,,,2: Good,-88.520417,33.832917
Grenada Lake,Grenada Dam,Yalobusha River,,,,Mississippi,United States,,1954,31,4237,107.5,107.5,3357.7,31.2,66892,3435,Flood control,,,3: Fair,-89.770417,33.81625
Henry,H. Neely Henry,Coosa,,,,Alabama,United States,,1966,32,1434,26.3,26.3,149,5.7,315352,17191,Hydroelectricity,,,2: Good,-86.057917,33.787083
,Big Haynes Creek Reservoir Dam,,,,,Georgia,United States,,-99,14,-99,2.3,2.3,23.4,10.2,1933,120,Water supply,,,3: Fair,-83.937083,33.732917
J. Strom Thurmond Lake,J. Strom Thurmond Dam,Savannah River,,,,Georgia,United States,,1954,61,1731,131.4,131.4,4711.9,35.9,253591,15903,Hydroelectricity,,,3: Fair,-82.199583,33.662083
,Cornish Creek Reservoir Dam,Cornish Creek,,,,Georgia,United States,,1991,16,488,3.4,3.4,22.7,6.7,1028,68,Water supply,,,2: Good,-83.80375,33.649583
,Miller Steam Plant Ash Pond,Trib. Locust Fork,,,,Alabama,United States,,1977,48,1311,0.3,0.3,11.7,39,9,1,Other,,,2: Good,-87.057917,33.607083
,Bayview Lake,Village Creek,,,,Alabama,United States,,1910,30,168,0.6,0.6,17.5,29.2,3338,190,Water supply,,,2: Good,-86.987083,33.572917
Columbus Lake,John C. Stennis,Tombigbee,,,,Mississippi,United States,,1978,25,305,9,9,73.4,8.2,212331,11599,Navigation,,,2: Good,-88.487917,33.520417
,Spivey Lake Dam,,,,,Georgia,United States,,1957,14,701,2,2,16.3,8.2,518,31,Recreation,,,2: Good,-84.282917,33.51625
,Lake Purdy Dam,Little Cahaba River,,,,Alabama,United States,,1964,17,65,3,3,32.6,10.9,2068,116,Water supply,,,2: Good,-86.667083,33.459583
,North Santee Dam,Santee River,,,,South Carolina,United States,,1942,21,11582,223.3,223.3,1517.2,6.8,200033,38210,Flood control,,,2: Good,-80.16625,33.45375
,Logan Martin,Coosa,,,,Alabama,United States,,1964,43,1852,55.7,55.7,801.8,14.4,367844,20144,Hydroelectricity,,,2: Good,-86.334583,33.424583
,Plant Wansley Main Storage Lake Dam,,,,,Georgia,United States,,1975,37,4828,3.7,3.7,59.2,16,979,57,Water supply,,,2: Good,-85.037083,33.424583
Flat Creek Reservoir,Lake Kedron Dam,Flat Creek,,,,Georgia,United States,,1986,16,-99,0.8,0.8,32.9,41.1,536,33,Recreation,,,4: Poor,-84.57875,33.424583
Laurens Shoals,Wallace,Oconee,,,,Georgia,United States,,1980,37,730,69.9,69.9,727.8,10.4,74951,4732,Hydroelectricity,,,2: Good,-83.162083,33.357917
Upper Towaliga River Reservior,Upper Towaliga River Dam,Towaliga River,,,,Georgia,United States,,1988,16,-99,2.5,2.5,36.7,14.7,1297,81,Recreation,,,2: Good,-84.207917,33.332917
,Horton Creek Reservoir Dam,Horton Creek,,,,Georgia,United States,,1996,16,-99,3.2,3.2,22.4,7,318,20,Recreation,,,2: Good,-84.424583,33.320417
Jackson Lake,Lloyd Shoals,Ocmulgee,,,,Georgia,United States,,1911,32,488,9.4,9.4,132,14,57917,3649,Hydroelectricity,,,2: Good,-83.845417,33.320417
,Lake Nicol Dam,Yellow Creek,,,,Alabama,United States,,1954,25,244,1,1,12.8,12.8,1083,64,Water supply,,,2: Good,-87.482917,33.29125
Lake Tuscaloosa,Lake Tuscaloosa Dam,North River,,,,Alabama,United States,,1971,38,390,18.1,18.1,222,12.3,18514,1082,Water supply,,,2: Good,-87.507917,33.26625
R.L. Harris Reservoir,R.L. Harris,Tallapoosa,,,,Alabama,United States,,1983,46,988,25,25,525.5,21,63911,3750,Hydroelectricity,,,2: Good,-85.612083,33.262083
